id,first_name,last_name,email,gender,salary
1,Deborah,Hicks,dhicks0@cnn.com,Female,57101
1,Deborah,Hicks,dhicks0@cnn.com,Female,571
1,Deborah,Hicks,dhicks0@cnn.com,Female,5
1,Deborah,Hicks,dhicks0@cnn.com,Female,5101
2,Kimberly,Russell,krussell1@myspace.com,Female,34115
2,Kimberly,Russell,krussell1@myspace.com,Female,341153
3,Elizabeth,Vasquez,evasquez2@icio.us,Female,60234
3,Elizabeth,Vasquez,evasquez2@icio.us,Female,60234
3,Elizabeth,Vasquez,evasquez2@icio.us,Female,60234
3,Elizabeth,Vasquez,evasquez2@icio.us,Female,602341
3,Elizabeth,Vasquez,evasquez2@icio.us,Female,60234
3,Elizabeth,Vasquez,evasquez2@icio.us,Female,60234
